name,email,organization_type,website,states_served,notes
Environment Florida,info@environmentflorida.org,advocacy,https://www.environmentflorida.org,FL,Florida clean water advocacy
Environment Georgia,info@environmentgeorgia.org,advocacy,https://www.environmentgeorgia.org,GA,Georgia water quality advocacy
Environment Massachusetts,info@environmentmassachusetts.org,advocacy,https://www.environmentmassachusetts.org,MA,Massachusetts clean water advocacy
Environment Maryland,info@environmentmaryland.org,advocacy,https://environmentmaryland.org,MD,Maryland water quality advocacy
Environment Washington,info@environmentwashington.org,advocacy,https://www.environmentwashington.org,WA,Washington state water advocacy
Environment Oregon,info@environmentoregon.org,advocacy,https://environmentoregon.org,OR,Oregon clean water advocacy
Environment New Jersey,info@environmentnj.org,advocacy,https://www.environmentnj.org,NJ,New Jersey water quality advocacy — PFAS focus
Environment Connecticut,info@environmentct.org,advocacy,https://www.environmentct.org,CT,Connecticut clean water advocacy
Environment Iowa,info@environmentiowa.org,advocacy,https://www.environmentiowa.org,IA,Iowa water quality advocacy
Environment Wisconsin,info@environmentwi.org,advocacy,https://environmentwisconsin.org,WI,Wisconsin water quality advocacy
Physicians for Social Responsibility,psr@psr.org,nonprofit,https://www.psr.org,CA;NY;WA;CO;MA;PA;TX;IL;OH;MI,Medical organization active on PFAS and drinking water contamination
Moms Clean Air Force,info@momscleanairforce.org,advocacy,https://www.momscleanairforce.org,CA;NY;TX;FL;PA;OH;MI;IL;NC;GA,Parent advocacy on environmental health including PFAS in water
Breast Cancer Prevention Partners,info@bcpp.org,nonprofit,https://www.bcpp.org,CA,Active on PFAS exposure research and drinking water
Silent Spring Institute,info@silentspring.org,research,https://silentspring.org,MA,Leading PFAS and environmental health research institute
Environmental Defense Fund Water Program,contact@edf.org,advocacy,https://www.edf.org/water,CA;NY;TX;CO;MT;NC;FL,EDF water quality and PFAS programs
Union of Concerned Scientists,ucs@ucsusa.org,nonprofit,https://www.ucsusa.org,CA;MA;DC;TX;IL;OH,Science-based advocacy on drinking water contamination
Safer States,info@saferstates.org,advocacy,https://www.saferstates.org,CA;WA;MA;MN;CT;IL;NY;OR;VT,Coalition of state orgs working on PFAS and chemical policy
Green Science Policy Institute,info@greensciencepolicy.org,research,https://greensciencepolicy.org,CA,Science-based PFAS research and policy organization
PFAS Project Lab,pfasproject@northeastern.edu,research,https://pfasproject.com,MA,Northeastern University PFAS research and journalism
NC State Center for Environmental and Health Effects of PFAS,pfas@ncsu.edu,research,https://cehe.ncsu.edu,NC,Academic PFAS research center
University of Rhode Island Coastal Institute,coastalinstitute@uri.edu,research,https://web.uri.edu/coastalinstitute,RI,Coastal water quality and contamination research
Michigan PFAS Action Response Team,MPART@michigan.gov,health_dept,https://www.michigan.gov/pfasresponse,MI,State PFAS response coordination — public outreach
Michigan Department of Environment Great Lakes and Energy,deq-oes@michigan.gov,health_dept,https://www.michigan.gov/egle,MI,State environmental agency managing water quality
California State Water Resources Control Board,swrcb@waterboards.ca.gov,health_dept,https://www.waterboards.ca.gov,CA,State water quality regulator — public engagement division
Colorado Department of Public Health Water Quality,cdphe.wq@state.co.us,health_dept,https://cdphe.colorado.gov/water-quality,CO,State drinking water program
Minnesota Pollution Control Agency,info.pca@state.mn.us,health_dept,https://www.pca.state.mn.us,MN,State environmental agency with PFAS focus
Vermont Department of Environmental Conservation,dec.info@vermont.gov,health_dept,https://dec.vermont.gov,VT,State environmental agency — PFAS programs
New Hampshire Department of Environmental Services,nhdes@des.nh.gov,health_dept,https://www.des.nh.gov,NH,PFAS-active state agency — one of first to regulate PFAS
New Jersey DEP Division of Water Supply and Geoscience,dep.watersupply@dep.nj.gov,health_dept,https://www.nj.gov/dep/watersupply,NJ,NJ drinking water regulator — PFAS MCL enforcement
North Carolina Division of Water Resources,DWR.CustomerService@ncdenr.gov,health_dept,https://deq.nc.gov/about/divisions/water-resources,NC,NC drinking water oversight and PFAS monitoring
Washington State Department of Ecology,ecyweb@ecy.wa.gov,health_dept,https://ecology.wa.gov,WA,State environmental agency with water quality division
Illinois EPA Division of Public Water Supplies,EPA.DPWS@illinois.gov,health_dept,https://epa.illinois.gov/topics/water-quality,IL,Illinois drinking water oversight
Wisconsin DNR Drinking Water Program,dnrwisc@wisconsin.gov,health_dept,https://dnr.wisconsin.gov/topic/DrinkingWater,WI,Wisconsin PFAS-active drinking water program
Ohio EPA Division of Drinking and Ground Waters,ocapp.se@epa.ohio.gov,health_dept,https://epa.ohio.gov/divisions/ddagw,OH,Ohio drinking water oversight
Pennsylvania DEP Bureau of Safe Drinking Water,RA-EPBSDW@pa.gov,health_dept,https://www.dep.pa.gov/drinkingwater,PA,Pennsylvania drinking water oversight
Texas Commission on Environmental Quality Water Supply Division,water@tceq.texas.gov,health_dept,https://www.tceq.texas.gov/drinkingwater,TX,Texas drinking water regulator
Florida Department of Environmental Protection Water Program,drinkingwater@floridadep.gov,health_dept,https://floridadep.gov/water,FL,Florida drinking water oversight
Georgia Environmental Protection Division Drinking Water,EPD@dnr.state.ga.us,health_dept,https://epd.georgia.gov/drinking-water,GA,Georgia drinking water oversight
Arizona Department of Environmental Quality Drinking Water,ADEQinfo@azdeq.gov,health_dept,https://azdeq.gov/drinking-water,AZ,Arizona drinking water oversight and PFAS monitoring
Oregon Health Authority Drinking Water Services,oha.info@dhsoha.state.or.us,health_dept,https://www.oregon.gov/oha/PH/HealthyEnvironments/DrinkingWater,OR,Oregon drinking water program
Virginia Department of Health Office of Drinking Water,vdh@vdh.virginia.gov,health_dept,https://www.vdh.virginia.gov/drinking-water,VA,Virginia drinking water oversight
Genessee County Health Department Environmental Health,gchd@gchd.us,health_dept,https://www.gchd.us,MI,County health dept in PFAS-impacted area
Mecklenburg County Environmental Health,environmental.health@mecklenburgcountync.gov,health_dept,https://www.mecknc.gov/HealthDepartment,NC,Large county health department — Charlotte area
Harris County Public Health,hcph@hctx.net,health_dept,https://publichealth.harriscountytx.gov,TX,Largest county in TX — drinking water oversight
Maricopa County Environmental Services,mces@mail.maricopa.gov,health_dept,https://www.maricopa.gov/780/Environmental-Services,AZ,Largest county health dept in AZ
Cook County Department of Public Health,ccdph@cookcountyhealth.org,health_dept,https://cookcountyhealth.org,IL,Large county public health serving Chicago suburbs
King County Environmental Health,ehs@kingcounty.gov,health_dept,https://kingcounty.gov/health/eh,WA,King County (Seattle area) environmental health
Cuyahoga County Board of Health,cboh@cboh.org,health_dept,https://www.cboh.org,OH,Northeast Ohio county health — industrial water concerns
Allegheny County Health Department,health@alleghenycounty.us,health_dept,https://www.alleghenycounty.us/Health-Department,PA,Pittsburgh-area county health department
San Diego County Department of Environmental Health,DEH@sdcounty.ca.gov,health_dept,https://www.sandiegocounty.gov/deh,CA,Large county environmental health in CA
Los Angeles County Department of Public Health,environmental@ph.lacounty.gov,health_dept,https://www.publichealth.lacounty.gov,CA,Largest county public health in US
Broward County Health Department,broward@flhealth.gov,health_dept,https://broward.floridahealth.gov,FL,South Florida county health department
Salt Lake County Health Department,health@slco.org,health_dept,https://slco.org/health,UT,Utah's largest county health department
Tarrant County Public Health,TCPHINFO@tarrantcountytx.gov,health_dept,https://www.tarrantcounty.com/en/public-health.html,TX,Fort Worth area county health
Jefferson County Department of Health,jcdh@jeffcohealthal.org,health_dept,https://www.jeffcohealthal.org,AL,Birmingham area county health — industrial water history
Water Research Foundation,info@waterrf.org,research,https://www.waterrf.org,CA;CO;TX;FL;NY;IL;PA;OH;MI;WA,Premier drinking water research nonprofit
University of Connecticut Center for Environmental Sciences,ces@uconn.edu,research,https://ces.uconn.edu,CT,Environmental water quality research
Duke University Nicholas School Environment Water Program,nicholas.communications@duke.edu,research,https://nicholas.duke.edu,NC,Top water contamination research program
Dartmouth Toxic Metals Superfund Research Program,dartmouth.superfund@dartmouth.edu,research,https://sites.dartmouth.edu/superfund,NH,PFAS and toxic metal contamination in drinking water research
University of Michigan Water Center,water.center@umich.edu,research,https://www.graham.umich.edu/water,MI,Great Lakes water quality research — PFAS focus
University of Iowa IIHR Hydroscience and Engineering,iihr@uiowa.edu,research,https://www.iihr.uiowa.edu,IA,Water quality hydroscience research
Colorado School of Mines Hydrologic Science,hydro@mines.edu,research,https://ees.mines.edu,CO,Water quality engineering and science research
Oregon State University Water Resources Graduate Program,wrgp@oregonstate.edu,research,https://wrgp.oregonstate.edu,OR,Water quality and contamination research
Penn State Institutes of Energy and the Environment,PSEE@psu.edu,research,https://www.iee.psu.edu,PA,Water quality research — PFAS and agricultural contamination
Virginia Tech Department of Civil and Environmental Engineering,vtcee@vt.edu,research,https://cee.vt.edu,VA,Water system safety research — Flint and PFAS expertise
Texas A&M AgriLife Extension Water Resources,agrilife.water@tamu.edu,extension,https://texaswater.tamu.edu,TX,Texas water resources extension — large reach
University of Florida IFAS Extension Water Resources,wec@ufl.edu,extension,https://ifas.ufl.edu,FL,Florida water resources and quality extension
Rutgers Cooperative Extension,rce.info@njaes.rutgers.edu,extension,https://njaes.rutgers.edu,NJ,New Jersey cooperative extension — water and agriculture
UC Cooperative Extension Water Quality,ucce.water@ucanr.edu,extension,https://ucanr.edu,CA,University of California cooperative extension water program
Ohio State University Extension Water Quality,water.quality@osu.edu,extension,https://extension.osu.edu,OH,Ohio State water quality extension
Purdue Extension Water Quality,extension@purdue.edu,extension,https://extension.purdue.edu,IN,Indiana water quality extension program
Mississippi State University Extension Water Resources,msucares@ra.msstate.edu,extension,https://extension.msstate.edu,MS,Mississippi water resources extension
Louisiana Cooperative Extension LSU AgCenter,lsuagcenter@agcenter.lsu.edu,extension,https://www.lsuagcenter.com,LA,Louisiana water quality extension
Clemson Extension Water Resources,clsncoop@clemson.edu,extension,https://www.clemson.edu/extension,SC,South Carolina water quality extension
University of Georgia Extension Water Quality,ugaextension@uga.edu,extension,https://extension.uga.edu,GA,Georgia water quality cooperative extension
University of Kentucky Cooperative Extension,ukextension@uky.edu,extension,https://extension.ca.uky.edu,KY,Kentucky water quality extension
University of Tennessee Extension Water Resources,utextension@tennessee.edu,extension,https://extension.tennessee.edu,TN,Tennessee water quality extension
North Carolina State Extension Water Resources,nc-water@ncsu.edu,extension,https://content.ces.ncsu.edu/topics/water,NC,NC State water quality extension programs
Virginia Cooperative Extension Water Resources,vaext@vt.edu,extension,https://ext.vt.edu,VA,Virginia water quality extension — partnered with VT
Missouri Extension Water Quality,extension@missouri.edu,extension,https://extension.missouri.edu,MO,Missouri water resources and quality extension
Kansas State Research and Extension Water Resources,ksre@ksu.edu,extension,https://www.ksre.k-state.edu,KS,Kansas water quality extension
Colorado State University Extension Water Quality,csuextension@colostate.edu,extension,https://extension.colostate.edu,CO,Colorado water resources extension
Washington State University Extension Water Resources,wsueextension@wsu.edu,extension,https://extension.wsu.edu,WA,Washington state water quality extension
Arizona Cooperative Extension Water Resources,azextension@email.arizona.edu,extension,https://extension.arizona.edu,AZ,Arizona water resources extension — rural water focus
Nebraska Extension Water Resources,nebextension@unl.edu,extension,https://extension.unl.edu,NE,Nebraska water quality cooperative extension
Arkansas Cooperative Extension Water Resources,arkansasextension@uaex.edu,extension,https://www.uaex.uada.edu,AR,Arkansas water quality extension
Community Water Center,info@communitywatercenter.org,nonprofit,https://www.communitywatercenter.org,CA,California rural and low-income community water advocacy
Rural Community Assistance Corporation,rcacnet@rcac.org,nonprofit,https://www.rcac.org,CA;WA;OR;ID;NV;MT;WY;CO;UT;AZ;NM,Technical assistance for rural water systems in western US
Rural Community Assistance Partnership,info@rcap.org,nonprofit,https://www.rcap.org,AL;AR;FL;GA;IL;IN;KY;LA;MI;MN;MO;MS;NC;OH;SC;TN;TX;VA;WV;WI,National network helping small/rural water systems
DigDeep,info@digdeep.org,nonprofit,https://www.digdeep.org,NM;AK;WV;KY;AL,Rural water access and quality advocacy
Environmental Justice Health Alliance,ejha@ejha.org,nonprofit,https://www.ejha.org,NY;NJ;LA;TX;CA;PA;OH,Environmental justice on water quality in low-income communities
Waterkeepers Chesapeake,info@waterkeeperschesapeake.org,advocacy,https://waterkeeperschesapeake.org,MD;VA;PA;WV;NY,Chesapeake Bay watershed waterkeeper coalition
San Francisco Baykeeper,baykeeper@baykeeper.org,advocacy,https://baykeeper.org,CA,SF Bay water quality watchdog
Hudson Riverkeeper,info@riverkeeper.org,advocacy,https://www.riverkeeper.org,NY,Hudson River water quality advocacy
Riverkeeper (Potomac),info@potomacriverkeeper.org,advocacy,https://www.potomacriverkeeper.org,MD;VA;WV;PA,Potomac River water quality advocacy
Ohio Riverkeeper,contact@ohioriverkeeper.org,advocacy,https://www.ohioriverkeeper.org,OH;WV;KY,Ohio River watershed water quality advocacy
Lake Michigan Federation,contact@lakemichigan.org,advocacy,https://www.lakemichigan.org,IL;IN;MI;WI,Lake Michigan drinking water source protection
Alliance for the Great Lakes,info@greatlakes.org,advocacy,https://www.greatlakes.org,IL;IN;MI;MN;NY;OH;PA;WI,Great Lakes water quality and drinking water advocacy
Delaware Riverkeeper Network,drn@delawareriverkeeper.org,advocacy,https://delawareriverkeeper.org,PA;NJ;NY;DE,Delaware River watershed drinking water advocacy
